,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std
Logistic Regression,0.8525,0.9,0.8182,0.8571,0.9015,0.9201,0.042
Random Forest,0.8033,0.8182,0.8182,0.8182,0.8885,0.9004,0.0524
XGBoost,0.8197,0.8438,0.8182,0.8308,0.8582,0.8995,0.0342
Gradient Boosting,0.8033,0.8182,0.8182,0.8182,0.8658,0.8965,0.0296
Extra Trees,0.8033,0.8387,0.7879,0.8125,0.8896,0.9045,0.0541
AdaBoost,0.8361,0.8485,0.8485,0.8485,0.8869,0.89,0.0406
SVM,0.8361,0.8485,0.8485,0.8485,0.8734,0.9017,0.0532
KNN,0.8525,0.875,0.8485,0.8615,0.9021,0.9012,0.0557
Naive Bayes,0.8361,0.8485,0.8485,0.8485,0.8983,0.8859,0.0716
LightGBM,0.8525,0.875,0.8485,0.8615,0.8723,0.9085,0.027
